county name,Population (January 2023),Median Household Income (2021),Race/Ethnicity: American Indian (2023),Race/Ethnicity: Asian (2023),Race/Ethnicity: Black (2023),Race/Ethnicity: Hispanic (2023),Race/Ethnicity: Multi-Racial/Ethnic (2023),Race/Ethnicity: Hawaiian/ Pacific Island (2023),Race/Ethnicity: White (2023),Age: 0-5 (2023),Age: 6-17 (2023),Age: 18-64 (2023),Age: 65+ (2023)
Alameda,1636194,108971,0.002499092405912746,0.3310010915576026,0.10026500524998869,0.2224895091902305,0.04287816725889473,0.007957491593295172,0.2940415378616472,0.06473743333614473,0.1484139411341198,0.6017379357215586,0.1862425849257484
Alpine,1184,87570,0.18496621621621623,0.016891891891891893,0.004222972972972973,0.11064189189189189,0.02533783783783784,0.0,0.643581081081081,0.056587837837837836,0.0945945945945946,0.5456081081081081,0.28885135135135137
Amador,39837,68159,0.014885659060672239,0.015714034691367323,0.026131485804653964,0.15520747044205135,0.026282099555689435,0.002309410849210533,0.7657705148480056,0.04879885533549213,0.09210030875818963,0.5508195898285514,0.31458192132941737
Butte,205592,62982,0.015851784116113467,0.052322074788902294,0.016741896571851045,0.18733705591657263,0.03911144402505934,0.0022374411455698667,0.6962381804739484,0.06230300789914005,0.13558406941904355,0.6204229736565625,0.19152982606327096
Calaveras,44890,68298,0.012385832033860547,0.016261973713521942,0.008910670527957229,0.1408108710180441,0.034283804856315436,0.0019826241924704832,0.7821118289151259,0.05312987302294497,0.10253954110046781,0.5044998886166184,0.33657830251726445
Colusa,21771,60725,0.013366404850489183,0.012953010886041064,0.007257360709200312,0.6136603738918746,0.012355886270727114,0.00275595976298746,0.3467916035092554,0.014101327453952506,0.016076431950760185,0.012815212897891691,0.0006430572780304074
Contra Costa,1147653,110595,0.002705521616725613,0.18790871456790512,0.08605824234328668,0.2659253276033784,0.04299208907221957,0.004822886360250006,0.4064390543134554,0.06594589131035251,0.14630816109050385,0.5892878770847982,0.1953099063915661
Del Norte,26599,48108,0.07000263167788262,0.03819692469641716,0.036354750178578144,0.18993195232903493,0.035527651415466745,0.001127861949697357,0.6114515583292605,0.05135531410955299,0.1474491522237678,0.5668258205195684,0.21696304372344824
El Dorado,189006,87689,0.007470662307016708,0.050892564257219344,0.009105531041342603,0.13686337999851855,0.03353332698432854,0.001671904595621303,0.7558331481540268,0.05389775985947536,0.1252764462503836,0.5535856004571283,0.2626107107710866
Fresno,1011499,63140,0.005755813896009783,0.10863678560235848,0.04640835037899197,0.5484137898307364,0.01978746395201577,0.0015442427525879908,0.2736987382093309,0.08368767542034149,0.18881877293007704,0.5916674163790572,0.1400713198925555
Glenn,28636,56741,0.01634306467383713,0.025876519066908785,0.007996926945104064,0.4403198770778042,0.017635144573264424,0.0011873166643385949,0.49497136471574243,0.07658192484983936,0.16667830702612096,0.5739977650509848,0.18707221679005448
Humboldt,134047,53924,0.05203398807880818,0.028228904787126904,0.012525457488791246,0.12921587204487978,0.04951994449707938,0.002879587010526159,0.7275134840764806,0.05758428014054772,0.13610897670220146,0.596484815027565,0.21173916611337815
Imperial,179476,50970,0.007482894648866701,0.011795448973678933,0.023017005059172257,0.8592513762285765,0.005594062715906305,0.0007911921371102543,0.09381755777931311,0.09003432213777887,0.21697051416345361,0.5325781720118568,0.16216652922953487
Inyo,18896,62381,0.10647756138865368,0.014024132091447926,0.008943691786621508,0.24248518204911093,0.027254445385266723,0.0010055038103302285,0.6000740897544454,0.05593776460626588,0.13494919559695173,0.5306943268416596,0.27868331922099915
Kern,907476,57926,0.0058502924595251,0.04928835583530584,0.051252044131194656,0.561734965993591,0.019838541184560254,0.0012088473965151695,0.31373171301499986,0.08378513591544019,0.19334395620380043,0.594484041451234,0.13129162644521727
Kings,151018,60810,0.009164470460474911,0.038247096372617834,0.06290640850759512,0.5714683017918394,0.02320253214848561,0.002079222344356302,0.30168589174800353,0.08616191447377133,0.1972744970798183,0.591644704604749,0.13367280721503397
Lake,66800,55801,0.026302395209580838,0.012544910179640718,0.01712574850299401,0.24095808383233533,0.03582335329341317,0.0026646706586826345,0.6735928143712575,0.06648203592814371,0.1399251497005988,0.5429790419161676,0.259625748502994
Lassen,28275,56923,0.027656940760389038,0.013828470380194519,0.08042440318302388,0.20728558797524316,0.031511936339522546,0.007780725022104333,0.6416976127320955,0.050539345711759505,0.12102564102564102,0.6250044208664899,0.2136162687886826
Los Angeles,9761210,77356,0.0018735382191347179,0.15020740256587042,0.07936290685273649,0.48810905615185,0.022687146368124442,0.0022006493047480795,0.2544175363505139,0.06369210374533485,0.1603280740809797,0.599604762114533,0.1752332958721306
Madera,158148,60241,0.010136075068922782,0.02230821761893922,0.029915016313832612,0.6033335862609708,0.016497205149606696,0.0012203758504691809,0.31739889217694817,0.08014012191112123,0.18048916205073728,0.5755874244378684,0.16459266003996256
Marin,252959,118472,0.001913353547412822,0.06651275503144778,0.023652054285477092,0.16713380429239522,0.03485940409315343,0.0017117398471689087,0.6996667444131263,0.05159729442320692,0.12532861056534852,0.5267296281215533,0.29179432240007275
Mariposa,16935,60377,0.026808385001476233,0.015057573073516387,0.010510776498376144,0.13764393268379096,0.029937998228520814,0.0017124298789489224,0.7814585178624152,0.051845290817832894,0.10924121641570711,0.4893416002361972,0.35270150575730735
Mendocino,89164,57516,0.039006774034363645,0.021084742721277645,0.00762639630344085,0.27275582073482574,0.028498048539769415,0.001368265219146741,0.6288524516621058,0.0637140549997757,0.1465277466241981,0.5410255259970391,0.24792517159391683
Merced,285337,54703,0.0043177015248635825,0.07219533393846575,0.02969120723915931,0.6355572533530527,0.019433161489747212,0.002186887785320516,0.2519512015616622,0.0842162075020064,0.18991928842035907,0.6136673477326811,0.12752990323722477
Modoc,8527,49273,0.03248504749618858,0.007974668699425355,0.010906532191861147,0.16007974668699426,0.025683124193737538,0.0028145889527383607,0.7768265509557875,0.026269496892224697,0.13181658261991322,0.5246862906063093,0.3339978890582854
Mono,13156,70945,0.019306780176345392,0.02356339312861052,0.007905138339920948,0.27310732745515354,0.02105503192459714,0.0034965034965034965,0.6536181210094254,0.04796290665855883,0.13940407418668288,0.5474308300395256,0.267254484645789
Monterey,430368,81404,0.0028882258904007734,0.05748103948248941,0.02325219347163358,0.6066970592609116,0.02375176593055246,0.004335824224849431,0.28803256747713585,0.07959467246635438,0.18539017770837982,0.5761673730388877,0.16528645252435126
Napa,134637,94127,0.003617133477424482,0.0871380081255524,0.018932388570749498,0.3549024413794128,0.025483336675653796,0.002770412293797396,0.5067329188855961,0.0539153427363949,0.12812971174342863,0.5775678305369252,0.23996375439143772
Nevada,100720,77220,0.007972597299444004,0.014247418586179507,0.005301826846703733,0.10065528196981731,0.028286338363780777,0.001687847498014297,0.832674741858618,0.04793486894360604,0.10096306592533758,0.5143467037331215,0.32758141382049244
Orange,3137164,100210,0.001953037839271393,0.22358219079397826,0.017220967727539907,0.34014893706545146,0.029114831102231186,0.0027677864466122905,0.38626766085547326,0.06592961031045874,0.15271021852858185,0.5996387182818622,0.18277686470965496
Placer,410305,103588,0.005439855717088507,0.08904107919718258,0.018549615529910676,0.1525816161148414,0.039894712469991836,0.002290978662214694,0.6988776641766491,0.060350227269957715,0.13962783782795726,0.5953961077734856,0.21130134899647823
Plumas,18996,58154,0.02016213939776795,0.00868603916614024,0.00963360707517372,0.10160033691303433,0.03395451674036639,0.0014739945251631922,0.8199094546220257,0.04027163613392293,0.1032849020846494,0.4714676774057696,0.38039587281532955
Riverside,2439234,78690,0.004653100112576325,0.06921394175384568,0.06293369147855433,0.515814390911245,0.024634372921991086,0.00312393152932437,0.32307355505867824,0.0704352267966091,0.16048521790037365,0.6150963786172217,0.15743016045201075
Sacramento,1572453,79611,0.004890448235972713,0.16994593797080104,0.09647855929557195,0.24137319207632915,0.05165750582052373,0.011579360400597028,0.4209645693702769,0.07244986018660017,0.16020510628934537,0.6040530305198312,0.16018157617429582
San Benito,65666,95187,0.004050802546218743,0.03951816769713398,0.011345292845612646,0.6272195656808699,0.018898669022020528,0.002436572960131575,0.3084853653336582,0.07390430359699084,0.15312338196326866,0.6301434532330278,0.1547832972923583
San Bernardino,2182056,74218,0.0037217193325927472,0.07938980484460527,0.08045210572047647,0.5581327885260506,0.02232985771217604,0.0031694878591566854,0.25611304201175406,0.07666347701433877,0.17555003171320993,0.6135717873418464,0.13752350993741683
San Diego,3269755,90756,0.0042223347009179586,0.12347928208688419,0.047277854151151995,0.35014641769796206,0.03633360909303602,0.004244660532669879,0.4414547878969525,0.07112795912843622,0.16286480179707655,0.6007003582837246,0.17246582695033727
San Francisco,831703,119776,0.002031975356587628,0.3625729376953071,0.05124184955446836,0.15570341816730252,0.038074889714236934,0.003853539063824466,0.38480082433272456,0.053380834264154395,0.11692515236809294,0.6128473746036747,0.2151260726485296
San Joaquin,786145,79598,0.00419515483784798,0.17187287332489554,0.07083044476527867,0.4294958309217765,0.03610402661086695,0.006507705321537376,0.2837084761716986,0.07723765971926298,0.1699190352924715,0.6099816191669476,0.14557619777521957
San Luis Obispo,278348,79688,0.00479256182907727,0.037772859873252185,0.016120108640981793,0.23975742595599753,0.026977021570120857,0.001250233520628853,0.6827568367654878,0.053950450515182435,0.11651601592251426,0.607606305775504,0.23135427594234556
San Mateo,737644,131151,0.0014044715336937602,0.3108532029000439,0.021983504237816615,0.2367266594725911,0.03892799236488062,0.012526367732944348,0.37139189093926067,0.06416103160874351,0.1552171508207211,0.5526731051835303,0.22176280156823616
Santa Barbara,440557,83185,0.004151562680878978,0.0541110457897616,0.0172032222845171,0.47748645464718525,0.025272552700331626,0.0017500573138095638,0.43321749512548885,0.07318235778798203,0.15303127631611801,0.6083140206602097,0.17866473577766329
Santa Clara,1886079,141161,0.0020258960520741706,0.3977966988657421,0.023917343865235762,0.2466609298974221,0.032367148990047605,0.0037994166734267227,0.28889882131130246,0.06392362143897472,0.1556085402573275,0.5962889147273258,0.17964517923162285
Santa Cruz,262051,90370,0.004079358598135478,0.046498582337026,0.010238465031615983,0.3499547797947728,0.03130688301132222,0.001247848701207017,0.5724420055638024,0.052844675273133856,0.1328405539379739,0.6108810880324822,0.21920160579429196
Shasta,179436,60187,0.022771350230722933,0.03204485164626942,0.010872957489021156,0.11320470808533405,0.0398359303595711,0.0015715909850866046,0.7798044985398693,0.06377204128491495,0.1430928018903676,0.5685425444169508,0.2246984997436412
Sierra,3193,60659,0.014093329157532102,0.004384591293454432,0.005324146570623238,0.0967741935483871,0.020983401190103352,0.00031318509238960227,0.8578139680551206,0.03789539617914187,0.0977137488255559,0.4719699342311306,0.39210773567178203
Siskiyou,43548,50069,0.03931294204096629,0.016189032791402592,0.012951226233122072,0.13780196564710204,0.04762560852392762,0.0024340957104803896,0.7432488288784789,0.050289335905208045,0.12854780931386056,0.5240653990998438,0.29666115550656746
Solano,443749,87348,0.004119445902976682,0.1598516278346543,0.1335169206015112,0.2852874034645712,0.055306040126287606,0.008772977516569051,0.352692625786199,0.06897142303419275,0.14964090059921262,0.5920937286619238,0.18884098893743986
Sonoma,478174,92999,0.0069409880085491895,0.04520111925784338,0.016600651645635272,0.2845679606168466,0.03079004713765282,0.0032875062215846113,0.6147929414815527,0.0562640377770435,0.13419382902458102,0.5783480490365431,0.2333752985314969
Stanislaus,545939,73151,0.004974914779856358,0.05677191041489983,0.027466438558153932,0.49667820031175647,0.028671701417191296,0.007315835651968443,0.3831801721437743,0.0797268559307908,0.1807051703578605,0.5955628742405287,0.1490642727484206
Sutter,98952,63246,0.009408602150537635,0.172184493491794,0.021373999514916323,0.3292303338992643,0.03580523890371089,0.002940819791414019,0.43473603363246827,0.07657247958606193,0.16689910259519766,0.5823328482496564,0.17987509095318943
Tehama,64271,53654,0.018406435250735168,0.013878732243157879,0.00823077282133466,0.2762210016959437,0.02864433414759378,0.0017426210888269982,0.6590997494982185,0.07289446251030791,0.15660251124146193,0.5626799022887461,0.21404677070529476
Trinity,15939,45508,0.040466779597214377,0.021331325679151768,0.005709266578831796,0.07654181567225045,0.04630152456239413,0.002007654181567225,0.8092728527511136,0.04310182571052136,0.10370788631658197,0.5450781102955016,0.30974339669991846
Tulare,475064,57398,0.006956957378374282,0.03386070087398751,0.013128757388478183,0.6674321775592341,0.014791691224761296,0.000926190997423505,0.2658841756058131,0.08568319215937222,0.204366148561036,0.5780105417375343,0.1349207685701295
Tuolumne,54590,61396,0.014288331196189778,0.013024363436526836,0.015808756182451,0.1278439274592416,0.02760578860597179,0.002491298772668987,0.7685656713683825,0.05108994321304268,0.10622824693167247,0.5128778164498993,0.2994321304268181
Ventura,825653,95819,0.0029285910667072004,0.07538881346037621,0.01795669609387963,0.43928866000608,0.02570086949360082,0.0018046322123216412,0.43544564120762597,0.06519082471692103,0.1585218003204736,0.5846717688908052,0.19012950961239164
Yolo,220880,76247,0.005134009416877943,0.15025805867439335,0.026380840275262586,0.32844983701557406,0.0455994204998189,0.004115356754798986,0.4517747193045998,0.05690420137631293,0.14047899311843534,0.6631474103585657,0.15118163708801158
Yuba,82677,60764,0.014889267873773843,0.07207566796085974,0.039986937116731375,0.3046796569783616,0.049384955912768966,0.00435429442287456,0.5182094173712157,0.08551350436034205,0.18707742177389117,0.589849655889788,0.14113961561256455
