county name,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Male population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Female population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Both sexes %,Male %,Female %,One Race %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Some Other Race %,Two or More Races %,Total races tallied %,White alone or in combination with one or more other races %,Black or African American alone or in combination with one or more other races %,American Indian and Alaska Native alone or in combination with one or more other races %,Asian alone or in combination with one or more other races %,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races %,Some Other Race alone or in combination with one or more other races %,Hispanic or Latino (of any race) %,Not Hispanic or Latino %,Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,Not Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,In households %,Householder %,Opposite-sex spouse %,Same-sex spouse %,Opposite-sex unmarried partner %,Same-sex unmarried partner %,Child [2] %,Under 18 years %,Grandchild %,Under 18 years %,Other relatives %,Nonrelatives %,In group quarters %,Institutionalized population: %,Male %,Female %,Noninstitutionalized population: %,Male %,Female %,Total households %,Married couple household %,With own children under 18 [3] %,Cohabiting couple household %,With own children under 18 [3] %,"Male householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,"Female householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,Households with individuals under 18 years %,Households with individuals 65 years and over %,Total housing units %,Occupied housing units %,Vacant housing units %,For rent %,"Rented, not occupied %",For sale only %,"Sold, not occupied %","For seasonal, recreational, or occasional use %",All other vacants %,Homeowner vacancy rate (percent) [4] %,Rental vacancy rate (percent) [5] %,Occupied housing units %,Owner-occupied housing units %,Renter-occupied housing units %
Alameda   ,5.3,5.7,5.9,6.1,6.5,7.4,8.5,8.1,7.2,6.7,6.3,6.2,5.7,4.7,3.8,2.5,1.6,1.7,81.9,79.6,75.5,17.6,14.3,100.0,5.5,6.0,6.2,6.3,6.6,7.5,8.5,8.1,7.2,6.8,6.4,6.2,5.6,4.5,3.6,2.2,1.4,1.3,81.1,78.7,74.5,16.2,12.9,100.0,5.1,5.5,5.7,5.9,6.3,7.3,8.4,8.1,7.1,6.6,6.3,6.3,5.7,4.9,4.0,2.7,1.8,2.1,82.6,80.4,76.5,19.0,15.6,(X),(X),(X),88.7,31.1,9.8,1.2,32.4,0.8,13.3,11.3,112.6,41.0,11.8,2.9,36.0,1.5,19.5,23.4,76.6,23.4,3.1,0.3,0.9,0.3,0.1,12.7,6.1,76.6,28.1,9.5,0.2,32.1,0.8,0.6,5.3,96.8,35.2,16.7,0.4,2.2,0.2,27.3,17.7,2.0,1.4,7.4,5.5,3.2,0.6,0.2,0.4,2.6,1.4,1.2,100.0,48.6,22.3,6.9,1.7,18.0,10.7,3.1,1.4,26.5,13.4,5.9,4.0,33.0,28.8,100.0,95.1,4.9,2.3,0.2,0.4,0.2,0.3,1.4,(X),(X),100.0,51.8,48.2
Alpine   ,4.3,4.3,4.0,5.5,4.5,6.6,5.6,5.1,4.4,5.7,6.1,9.2,9.7,10.0,7.6,4.2,1.2,1.9,86.4,83.8,81.3,31.1,25.0,100.0,3.9,4.6,3.9,5.1,4.7,7.6,5.5,4.3,5.2,4.3,6.2,10.0,9.5,11.1,7.1,4.7,0.6,1.7,86.4,83.9,81.8,30.5,25.3,100.0,4.7,4.0,4.0,6.0,4.2,5.4,5.6,6.0,3.5,7.4,6.1,8.4,10.0,8.9,8.1,3.7,1.9,2.1,86.3,83.7,80.7,31.9,24.7,(X),(X),(X),90.1,67.6,0.8,19.6,1.0,0.0,1.1,9.9,113.3,75.7,3.0,22.3,3.4,1.7,7.2,7.0,93.0,7.0,1.1,0.0,1.8,0.0,0.0,0.5,3.6,93.0,66.5,0.8,17.8,1.0,0.0,0.6,6.3,95.7,43.4,17.4,0.3,3.2,0.2,18.9,11.5,2.9,2.3,5.1,4.4,4.3,0.1,0.0,0.1,4.2,3.1,1.2,100.0,40.9,8.7,9.6,3.2,28.1,20.0,8.3,1.1,21.3,10.4,6.2,2.5,27.0,46.0,100.0,34.4,65.6,3.1,0.2,0.7,0.3,60.5,0.8,(X),(X),100.0,70.4,29.6
Amador   ,4.1,4.3,4.7,4.4,3.7,4.6,5.6,5.8,5.4,5.4,6.3,8.4,9.0,9.2,8.3,5.2,3.1,2.6,86.0,84.1,81.9,33.8,28.4,100.0,4.0,4.2,4.3,4.2,3.8,4.9,6.3,6.5,6.3,5.7,6.7,8.4,8.7,8.6,7.7,5.0,2.6,2.0,86.5,84.7,82.5,31.1,25.9,100.0,4.1,4.4,5.0,4.6,3.5,4.1,4.7,5.1,4.4,5.0,5.9,8.4,9.2,9.9,9.0,5.4,3.6,3.4,85.4,83.3,81.1,36.9,31.3,(X),(X),(X),90.4,76.8,3.1,1.9,1.4,0.2,7.0,9.6,110.4,86.0,3.8,5.2,2.7,0.7,11.9,14.9,85.1,14.9,3.4,0.1,0.4,0.1,0.0,6.4,4.5,85.1,73.4,3.0,1.4,1.4,0.2,0.6,5.1,89.3,38.7,19.7,0.2,2.4,0.1,19.9,13.3,2.1,1.6,3.2,3.0,10.7,10.1,10.0,0.1,0.5,0.4,0.2,100.0,51.3,12.6,6.3,1.6,17.8,12.4,5.7,1.4,24.7,15.1,10.1,3.1,22.6,48.8,100.0,83.4,16.6,1.4,0.2,1.5,0.4,10.8,2.4,(X),(X),100.0,75.7,24.3
Butte   ,5.3,5.7,6.0,7.0,9.0,6.8,6.5,6.3,5.5,5.1,5.3,6.1,6.6,6.3,5.2,3.2,2.1,2.1,81.9,79.5,74.0,22.9,19.0,100.0,5.4,5.9,6.2,6.9,9.1,7.2,6.7,6.5,5.7,5.3,5.2,5.9,6.4,6.1,5.1,3.0,1.9,1.6,81.4,78.9,73.5,21.5,17.7,100.0,5.2,5.5,5.8,7.0,8.9,6.5,6.3,6.1,5.3,4.9,5.3,6.3,6.8,6.5,5.2,3.5,2.3,2.6,82.5,80.1,74.6,24.3,20.2,(X),(X),(X),88.3,70.7,1.7,2.1,5.0,0.3,8.6,11.7,112.6,81.7,3.1,6.2,6.6,0.7,14.2,19.0,81.0,19.0,4.7,0.2,0.7,0.1,0.0,8.0,5.3,81.0,66.0,1.6,1.4,4.9,0.2,0.6,6.4,97.7,39.3,15.8,0.2,3.4,0.1,25.3,17.6,2.3,1.6,4.4,6.8,2.3,0.7,0.4,0.3,1.7,0.8,0.8,100.0,40.7,14.4,9.1,2.9,21.6,13.1,4.6,1.9,28.7,15.2,8.0,4.4,27.2,35.3,100.0,92.4,7.6,2.0,0.4,0.8,0.3,1.8,2.3,(X),(X),100.0,56.2,43.8
Calaveras   ,4.3,4.8,5.3,5.0,3.9,4.4,5.3,5.2,4.9,5.0,6.1,8.0,9.6,9.3,8.1,5.3,3.0,2.5,84.6,82.4,79.6,34.2,28.2,100.0,4.5,4.9,5.4,5.3,4.1,4.6,5.4,5.4,5.1,5.2,5.9,7.7,9.2,9.1,8.0,5.2,2.9,2.1,84.2,81.9,79.0,33.1,27.3,100.0,4.2,4.7,5.3,4.6,3.6,4.3,5.2,5.0,4.8,4.8,6.3,8.2,10.0,9.5,8.2,5.3,3.2,2.9,84.9,83.0,80.3,35.3,29.0,(X),(X),(X),88.9,80.2,0.8,1.6,1.6,0.2,4.4,11.1,111.9,90.9,1.5,5.6,3.1,0.8,10.1,12.9,87.1,12.9,3.6,0.1,0.6,0.1,0.1,3.8,4.7,87.1,76.5,0.7,1.1,1.6,0.2,0.6,6.4,99.0,41.3,21.7,0.2,2.8,0.1,23.0,14.5,2.4,1.8,3.9,3.7,1.0,0.7,0.5,0.1,0.3,0.2,0.2,100.0,52.8,12.6,6.9,2.1,18.2,12.5,6.2,1.5,22.1,13.2,8.6,2.6,23.1,47.8,100.0,68.4,31.6,1.0,0.3,1.6,0.7,25.3,2.7,(X),(X),100.0,79.0,21.0
Colusa   ,6.4,7.6,9.0,7.7,5.9,6.3,6.5,6.5,5.9,5.4,5.6,6.1,6.2,5.1,3.7,2.7,1.8,1.6,75.3,72.0,68.0,18.5,14.9,100.0,6.3,7.6,9.6,8.2,6.0,6.4,6.6,6.4,5.6,5.3,5.7,6.0,6.1,4.9,3.7,2.6,1.7,1.1,74.8,71.3,67.2,17.6,14.0,100.0,6.6,7.6,8.5,7.2,5.7,6.2,6.4,6.6,6.2,5.5,5.4,6.1,6.2,5.3,3.6,2.9,1.9,2.1,75.8,72.8,68.8,19.5,15.8,(X),(X),(X),80.5,42.9,0.9,2.3,1.3,0.4,32.7,19.5,120.5,61.6,1.5,4.7,2.1,0.8,49.7,61.7,38.3,61.7,11.1,0.1,1.1,0.1,0.0,32.3,17.0,38.3,31.8,0.8,1.3,1.2,0.3,0.4,2.5,99.1,33.0,17.7,0.1,2.0,0.0,35.2,24.0,2.7,2.1,6.2,2.2,0.9,0.7,0.4,0.3,0.1,0.1,0.1,100.0,53.8,24.8,6.1,3.1,16.7,9.7,4.0,2.1,23.3,11.0,6.4,6.3,43.4,35.6,100.0,89.2,10.8,1.4,0.3,0.7,0.4,3.0,4.9,(X),(X),100.0,61.1,38.9
Contra Costa   ,5.3,6.2,6.9,6.7,5.6,5.8,6.5,7.0,6.8,6.8,6.8,6.9,6.3,5.3,4.4,3.0,1.9,2.0,80.2,77.4,73.7,20.2,16.5,100.0,5.6,6.5,7.2,7.1,5.9,5.9,6.5,7.0,6.7,6.8,6.8,6.9,6.1,5.0,4.1,2.7,1.7,1.5,79.3,76.3,72.4,18.5,15.0,100.0,5.1,5.9,6.6,6.3,5.3,5.6,6.4,7.0,6.9,6.7,6.8,6.9,6.4,5.5,4.8,3.2,2.1,2.4,81.1,78.5,75.0,21.8,18.0,(X),(X),(X),86.8,43.0,8.7,1.0,18.7,0.5,14.9,13.2,114.5,54.8,10.7,3.0,22.3,1.2,22.4,27.0,73.0,27.0,4.0,0.3,0.8,0.3,0.0,14.1,7.5,73.0,39.1,8.4,0.2,18.4,0.5,0.7,5.7,99.0,34.9,18.4,0.3,2.0,0.1,30.7,19.8,2.2,1.7,6.7,3.7,1.0,0.4,0.2,0.2,0.6,0.3,0.3,100.0,53.6,23.4,6.1,2.1,14.9,8.7,3.2,1.6,25.4,12.8,7.2,4.4,35.4,33.5,100.0,96.1,3.9,1.5,0.1,0.5,0.2,0.5,1.1,(X),(X),100.0,65.6,34.4
Del Norte   ,5.1,6.0,6.1,5.1,5.2,7.3,7.4,7.4,6.2,5.3,5.5,7.2,7.3,6.8,5.4,3.0,1.9,1.7,81.6,79.5,76.7,23.3,18.9,100.0,4.7,5.5,5.6,4.8,5.8,9.0,8.9,8.2,6.7,5.5,5.3,6.8,6.4,6.2,5.1,2.6,1.5,1.4,83.1,81.1,78.3,20.5,16.7,100.0,5.6,6.6,6.7,5.5,4.4,5.2,5.6,6.4,5.7,5.0,5.6,7.7,8.4,7.5,5.8,3.6,2.5,2.1,79.9,77.6,74.8,26.7,21.5,(X),(X),(X),87.6,62.0,3.1,8.8,3.0,0.2,10.6,12.4,113.4,73.7,4.3,14.4,4.4,0.7,15.9,19.2,80.8,19.2,3.4,0.1,1.1,0.1,0.1,10.1,4.4,80.8,58.6,3.0,7.7,3.0,0.1,0.4,8.0,88.9,35.4,15.0,0.1,3.0,0.1,24.7,16.7,2.8,2.1,4.0,3.8,11.1,10.5,10.2,0.3,0.6,0.4,0.2,100.0,42.7,13.6,8.7,3.4,20.5,13.8,6.0,1.9,28.1,15.1,8.0,4.8,29.5,41.5,100.0,88.4,11.6,1.8,0.4,1.1,0.5,4.5,3.3,(X),(X),100.0,63.1,36.9
El Dorado   ,4.5,5.5,6.5,6.1,4.5,4.4,5.2,6.0,5.8,5.9,6.7,8.1,8.5,7.7,6.2,3.9,2.3,2.2,82.2,79.5,76.5,27.4,22.3,100.0,4.6,5.7,6.7,6.3,4.6,4.6,5.2,6.0,5.9,5.9,6.6,7.8,8.4,7.6,6.2,3.8,2.2,1.8,81.6,78.9,75.6,26.6,21.6,100.0,4.3,5.4,6.3,5.8,4.3,4.2,5.2,6.0,5.8,5.9,6.9,8.3,8.7,7.8,6.3,4.0,2.4,2.5,82.8,80.2,77.3,28.2,23.0,(X),(X),(X),88.5,76.7,0.8,1.0,4.8,0.2,5.0,11.5,112.3,87.8,1.6,3.9,7.1,0.6,11.3,13.8,86.2,13.8,3.4,0.1,0.3,0.1,0.0,4.4,5.5,86.2,73.3,0.8,0.7,4.7,0.1,0.6,5.9,99.3,39.4,21.6,0.2,2.4,0.1,26.9,18.3,1.9,1.3,3.6,3.3,0.7,0.4,0.2,0.1,0.3,0.1,0.2,100.0,55.3,18.3,6.5,1.8,16.5,10.8,4.5,1.7,21.7,12.5,7.4,3.1,27.9,39.8,100.0,80.6,19.4,1.5,0.4,0.8,0.3,14.6,1.8,(X),(X),100.0,74.9,25.1
Fresno   ,6.9,7.8,8.2,7.6,7.2,7.4,7.2,6.8,6.0,5.5,5.4,5.6,5.2,4.4,3.4,2.3,1.5,1.6,75.5,72.4,67.9,16.2,13.2,100.0,7.0,8.0,8.4,7.9,7.3,7.6,7.4,6.9,6.0,5.4,5.4,5.5,5.1,4.2,3.2,2.1,1.3,1.2,74.9,71.7,67.1,15.0,12.0,100.0,6.7,7.7,8.0,7.4,7.0,7.1,7.0,6.8,6.0,5.6,5.4,5.6,5.3,4.6,3.6,2.5,1.7,2.0,76.1,73.1,68.8,17.5,14.4,(X),(X),(X),83.8,37.1,4.8,2.2,11.2,0.2,28.2,16.2,117.0,52.3,6.1,4.2,12.8,0.5,41.2,53.6,46.4,53.6,10.2,0.4,1.6,0.4,0.0,27.7,13.3,46.4,27.0,4.4,0.6,10.9,0.1,0.5,2.9,98.2,31.7,14.5,0.2,2.4,0.1,34.7,23.2,3.5,2.7,7.6,3.5,1.8,1.1,0.9,0.2,0.7,0.4,0.3,100.0,46.4,21.2,8.1,4.1,17.9,9.4,3.2,2.4,27.7,11.1,5.8,7.5,40.9,30.1,100.0,94.3,5.7,1.9,0.2,0.5,0.2,1.3,1.5,(X),(X),100.0,54.3,45.7
Glenn   ,6.4,7.2,7.6,7.1,5.8,5.9,6.5,6.4,5.8,5.5,5.6,6.5,6.4,5.6,4.2,3.2,2.1,2.1,77.1,74.2,70.5,20.9,17.2,100.0,6.8,7.6,8.0,6.9,6.0,6.0,6.6,6.5,5.8,5.1,5.7,6.4,6.3,5.6,4.2,3.1,1.8,1.5,76.0,73.2,69.5,19.8,16.3,100.0,6.0,6.8,7.3,7.3,5.7,5.9,6.3,6.2,5.9,5.8,5.5,6.7,6.4,5.6,4.1,3.3,2.4,2.6,78.2,75.2,71.4,22.0,18.2,(X),(X),(X),86.4,54.5,0.6,3.8,2.2,0.2,25.1,13.6,114.8,67.4,1.3,7.0,3.1,0.4,35.5,43.4,56.6,43.4,6.4,0.1,1.9,0.1,0.0,24.6,10.2,56.6,48.1,0.5,1.8,2.2,0.1,0.5,3.5,99.0,35.2,17.9,0.1,2.8,0.0,32.3,22.3,2.8,2.2,5.0,2.8,1.0,0.9,0.6,0.3,0.1,0.1,0.1,100.0,51.0,20.9,8.1,3.9,17.5,11.2,4.5,1.6,23.5,11.5,6.6,5.3,37.6,37.1,100.0,93.4,6.6,1.3,0.4,0.5,0.2,1.2,2.9,(X),(X),100.0,61.5,38.5
Humboldt   ,4.9,5.4,5.9,6.1,7.4,7.4,7.1,7.1,6.4,5.4,5.0,6.0,6.7,6.8,5.5,3.2,1.9,1.8,82.6,80.5,76.2,23.2,19.1,100.0,5.0,5.6,6.1,6.2,7.3,7.6,7.4,7.4,6.6,5.7,5.0,5.8,6.5,6.5,5.4,3.0,1.7,1.4,82.1,79.9,75.8,21.8,17.9,100.0,4.8,5.2,5.8,6.1,7.5,7.2,6.8,6.9,6.1,5.1,5.0,6.3,6.9,7.1,5.7,3.3,2.0,2.2,83.2,81.1,76.6,24.5,20.4,(X),(X),(X),88.2,71.9,1.4,6.2,2.6,0.3,5.7,11.8,113.0,83.1,2.8,11.3,4.4,0.9,10.5,13.6,86.4,13.6,3.5,0.1,0.8,0.1,0.0,4.9,4.2,86.4,68.4,1.3,5.5,2.6,0.3,0.8,7.6,96.7,41.3,14.8,0.3,4.4,0.2,23.5,16.6,2.0,1.4,3.6,6.5,3.3,0.5,0.3,0.2,2.8,1.4,1.4,100.0,36.5,12.2,11.3,3.4,23.3,15.4,5.0,2.0,28.9,16.3,8.0,4.3,25.5,34.6,100.0,90.8,9.2,2.0,0.3,0.7,0.3,3.0,2.9,(X),(X),100.0,55.3,44.7
Imperial   ,6.0,7.3,8.2,7.9,6.8,7.2,7.2,6.7,6.0,5.6,5.9,5.9,5.7,4.8,3.5,2.2,1.6,1.6,76.9,73.6,69.2,17.0,13.6,100.0,6.0,7.5,8.3,8.0,7.3,8.0,7.7,7.0,6.2,5.4,5.7,5.6,5.4,4.4,3.1,1.9,1.3,1.2,76.5,73.2,68.7,15.0,11.9,100.0,5.9,7.2,8.1,7.7,6.3,6.5,6.6,6.4,5.7,5.9,6.0,6.2,6.1,5.2,3.8,2.5,1.8,2.0,77.2,74.0,69.7,19.0,15.3,(X),(X),(X),72.3,26.5,2.4,2.4,1.7,0.1,39.2,27.7,128.5,53.2,3.0,3.9,2.6,0.3,65.7,85.2,14.8,85.2,17.1,0.3,1.5,0.4,0.0,39.0,26.8,14.8,9.4,2.1,0.9,1.2,0.0,0.3,0.9,95.3,29.0,14.7,0.1,1.6,0.0,33.9,20.7,5.0,4.0,8.6,2.5,4.7,4.2,4.1,0.1,0.5,0.4,0.2,100.0,50.9,23.0,5.6,3.1,14.6,8.0,2.9,1.7,28.9,9.5,5.6,8.3,44.8,33.8,100.0,91.9,8.1,1.8,0.4,0.5,0.3,3.1,1.9,(X),(X),100.0,55.0,45.0
Inyo   ,4.9,5.9,6.1,5.0,4.4,5.5,6.2,6.5,5.8,5.7,5.4,7.0,8.0,7.9,5.9,4.2,2.9,2.8,82.0,79.8,77.3,28.6,23.7,100.0,4.8,5.7,6.3,5.1,4.5,5.5,6.5,6.4,6.1,5.8,5.5,6.8,8.1,7.9,5.6,4.2,2.7,2.6,82.2,79.9,77.2,27.8,23.0,100.0,5.1,6.0,5.8,4.8,4.3,5.4,5.9,6.5,5.6,5.6,5.2,7.3,8.0,8.0,6.1,4.1,3.1,3.1,81.9,79.7,77.4,29.3,24.5,(X),(X),(X),88.8,61.8,0.5,13.0,1.5,0.1,11.9,11.2,112.4,72.5,1.4,17.1,2.4,0.5,18.5,23.1,76.9,23.1,3.8,0.1,1.5,0.0,0.0,11.5,6.3,76.9,58.0,0.4,11.5,1.4,0.1,0.5,4.9,96.8,42.4,17.7,0.1,2.8,0.1,24.4,16.7,2.6,1.9,3.6,3.1,3.2,1.2,0.9,0.4,2.0,1.3,0.6,100.0,42.3,12.5,6.9,2.3,24.4,17.7,8.1,2.0,26.4,15.5,8.8,4.1,25.9,43.6,100.0,85.0,15.0,2.1,0.3,0.4,0.5,7.8,3.9,(X),(X),100.0,64.3,35.7
Kern   ,7.0,8.0,8.5,7.8,6.9,7.5,7.4,7.0,6.2,5.6,5.5,5.7,5.3,4.2,3.1,2.1,1.3,1.1,74.9,71.7,67.3,14.8,11.8,100.0,7.0,8.0,8.6,7.9,7.2,7.9,7.6,7.1,6.2,5.5,5.5,5.5,5.2,4.0,2.9,1.8,1.1,0.9,74.7,71.5,67.0,13.7,10.7,100.0,6.9,8.0,8.5,7.6,6.7,7.2,7.1,6.8,6.1,5.6,5.5,5.8,5.4,4.4,3.4,2.3,1.5,1.4,75.0,71.9,67.6,16.0,12.9,(X),(X),(X),83.9,40.9,5.5,2.0,5.1,0.2,30.2,16.1,117.0,56.1,6.8,4.3,6.4,0.4,42.9,54.9,45.1,54.9,10.1,0.4,1.4,0.3,0.0,29.7,13.0,45.1,30.8,5.1,0.6,4.9,0.1,0.5,3.1,96.8,31.0,14.9,0.1,2.5,0.1,34.6,23.8,3.5,2.8,6.9,3.2,3.2,2.7,2.5,0.2,0.5,0.3,0.2,100.0,48.7,22.9,8.3,4.4,17.5,9.7,3.1,2.3,25.5,9.9,5.0,7.3,42.9,27.9,100.0,93.5,6.5,1.9,0.3,0.8,0.3,1.5,1.6,(X),(X),100.0,59.2,40.8
