county name,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Male population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Female population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Both sexes %,Male %,Female %,One Race %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Some Other Race %,Two or More Races %,Total races tallied %,White alone or in combination with one or more other races %,Black or African American alone or in combination with one or more other races %,American Indian and Alaska Native alone or in combination with one or more other races %,Asian alone or in combination with one or more other races %,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races %,Some Other Race alone or in combination with one or more other races %,Hispanic or Latino (of any race) %,Not Hispanic or Latino %,Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,Not Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,In households %,Householder %,Opposite-sex spouse %,Same-sex spouse %,Opposite-sex unmarried partner %,Same-sex unmarried partner %,Child [2] %,Under 18 years %,Grandchild %,Under 18 years %,Other relatives %,Nonrelatives %,In group quarters %,Institutionalized population: %,Male %,Female %,Noninstitutionalized population: %,Male %,Female %,Total households %,Married couple household %,With own children under 18 [3] %,Cohabiting couple household %,With own children under 18 [3] %,"Male householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,"Female householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,Households with individuals under 18 years %,Households with individuals 65 years and over %,Total housing units %,Occupied housing units %,Vacant housing units %,For rent %,"Rented, not occupied %",For sale only %,"Sold, not occupied %","For seasonal, recreational, or occasional use %",All other vacants %,Homeowner vacancy rate (percent) [4] %,Rental vacancy rate (percent) [5] %,Occupied housing units %,Owner-occupied housing units %,Renter-occupied housing units %
Kings   ,6.8,7.4,8.0,7.2,7.4,8.3,8.2,7.6,6.6,5.9,5.5,5.5,4.9,3.7,2.8,1.8,1.3,1.1,76.3,73.4,69.2,13.4,10.6,100.0,6.4,7.0,7.4,6.9,7.6,8.9,9.0,8.2,7.2,6.3,5.7,5.6,4.8,3.5,2.3,1.5,1.0,0.8,77.8,75.1,71.0,11.8,9.1,100.0,7.3,7.9,8.7,7.6,7.2,7.6,7.3,6.9,6.0,5.4,5.3,5.5,5.0,4.0,3.3,2.1,1.6,1.5,74.6,71.5,67.2,15.3,12.4,(X),(X),(X),84.1,40.2,5.9,2.4,3.9,0.3,31.5,15.9,116.7,54.9,7.4,4.4,5.5,0.7,43.8,56.8,43.2,56.8,11.1,0.5,1.3,0.3,0.1,31.0,12.6,43.2,29.1,5.4,1.1,3.6,0.2,0.5,3.3,89.8,28.9,14.4,0.1,2.2,0.1,32.4,22.5,3.4,2.7,5.6,2.7,10.2,9.1,9.0,0.1,1.1,0.8,0.3,100.0,50.3,24.0,8.0,4.4,16.8,9.3,2.6,2.3,24.9,9.4,4.9,7.3,44.4,28.0,100.0,95.3,4.7,1.8,0.2,0.6,0.2,0.3,1.6,(X),(X),100.0,54.1,45.9
Lake   ,5.3,5.9,6.0,5.4,4.6,5.4,6.1,5.9,5.4,5.2,6.2,7.6,8.4,8.0,6.4,4.0,2.3,1.9,81.6,79.3,76.4,27.6,22.7,100.0,5.2,5.9,6.1,5.6,4.8,5.6,6.3,6.0,5.5,5.1,6.0,7.6,8.3,7.7,6.6,3.8,2.2,1.5,81.5,79.2,76.1,26.8,21.8,100.0,5.4,5.9,5.9,5.1,4.3,5.1,6.0,5.8,5.3,5.3,6.4,7.6,8.4,8.3,6.3,4.3,2.4,2.3,81.6,79.5,76.8,28.5,23.5,(X),(X),(X),86.9,68.7,1.8,3.5,1.5,0.2,11.3,13.1,114.2,81.3,3.1,7.5,2.7,0.6,19.0,22.7,77.3,22.7,3.9,0.1,0.9,0.1,0.0,10.7,6.9,77.3,64.8,1.7,2.5,1.4,0.1,0.6,6.2,99.0,40.5,15.9,0.2,3.6,0.2,25.6,17.0,3.0,2.3,4.9,5.0,1.0,0.8,0.5,0.3,0.3,0.2,0.1,100.0,39.7,12.5,9.3,3.3,23.9,16.0,7.3,1.8,27.0,14.5,8.4,4.2,26.3,42.5,100.0,80.7,19.3,1.6,0.2,1.3,0.7,11.9,3.6,(X),(X),100.0,67.5,32.5
Lassen   ,4.2,4.8,4.9,4.4,7.0,10.3,10.2,8.6,7.2,6.1,5.4,6.4,5.9,5.4,4.0,2.3,1.4,1.4,85.1,83.2,80.6,18.0,14.5,100.0,3.4,3.6,4.0,3.8,7.9,12.7,12.5,10.2,8.2,6.3,5.4,5.9,4.8,4.3,3.1,1.9,1.0,0.9,88.2,86.6,84.0,14.2,11.3,100.0,5.7,6.8,6.6,5.4,5.5,6.1,6.3,5.9,5.5,5.7,5.6,7.3,7.7,7.4,5.4,2.9,2.0,2.2,79.9,77.3,74.6,24.6,20.0,(X),(X),(X),92.1,64.4,7.0,3.3,1.5,0.9,15.1,7.9,108.7,71.5,7.8,6.2,3.0,1.7,18.4,23.0,77.0,23.0,4.7,0.1,0.5,0.1,0.0,14.6,3.1,77.0,59.7,6.9,2.9,1.4,0.9,0.4,4.8,73.1,30.2,13.9,0.1,2.4,0.1,19.6,14.5,1.7,1.3,2.7,2.4,26.9,26.7,26.4,0.3,0.2,0.2,0.1,100.0,46.4,15.8,8.0,2.9,22.4,15.3,5.6,2.3,23.2,13.2,7.2,4.1,29.4,37.4,100.0,80.9,19.1,2.6,0.3,1.8,0.7,8.9,4.7,(X),(X),100.0,65.9,34.1
Los Angeles   ,5.0,5.6,6.2,6.4,7.2,8.1,7.8,7.2,6.6,6.6,6.6,6.4,5.8,4.8,3.7,2.5,1.7,1.8,82.0,79.5,75.4,17.9,14.5,100.0,5.2,5.8,6.5,6.7,7.4,8.2,8.1,7.4,6.7,6.5,6.6,6.4,5.7,4.6,3.4,2.2,1.4,1.4,81.2,78.6,74.4,16.2,13.0,100.0,4.8,5.3,5.9,6.2,7.0,7.9,7.6,7.1,6.6,6.6,6.6,6.5,6.0,5.0,4.0,2.8,2.0,2.3,82.8,80.4,76.4,19.5,16.0,(X),(X),(X),85.1,32.5,7.9,1.6,15.0,0.2,27.8,14.9,115.9,46.1,9.4,3.3,17.0,0.6,39.6,48.0,52.0,48.0,6.9,0.3,1.4,0.3,0.0,27.2,11.7,52.0,25.6,7.6,0.2,14.7,0.2,0.6,3.1,97.9,34.2,14.4,0.3,2.4,0.2,28.9,16.4,3.2,2.4,9.3,5.1,2.1,0.6,0.4,0.3,1.5,0.8,0.7,100.0,43.0,17.6,7.5,2.5,19.9,11.4,3.0,1.6,29.6,13.3,5.7,5.1,32.2,30.2,100.0,95.2,4.8,2.3,0.2,0.3,0.2,0.5,1.2,(X),(X),100.0,45.6,54.4
Madera   ,6.7,7.7,8.3,7.6,6.4,6.7,6.6,6.7,6.0,5.5,5.5,5.8,5.7,4.9,4.0,2.6,1.6,1.5,75.6,72.5,68.3,18.1,14.7,100.0,6.8,7.9,8.4,7.8,6.6,6.5,6.5,6.6,5.9,5.5,5.6,6.0,5.7,4.8,4.0,2.5,1.5,1.2,75.2,72.0,67.5,17.4,14.0,100.0,6.6,7.6,8.1,7.4,6.2,6.8,6.7,6.7,6.1,5.6,5.4,5.7,5.8,5.1,4.0,2.8,1.7,1.7,76.0,73.0,69.0,18.7,15.3,(X),(X),(X),83.8,41.8,2.9,4.9,2.5,0.1,31.6,16.2,116.9,56.7,3.7,7.7,3.5,0.4,44.9,59.6,40.4,59.6,10.8,0.3,3.8,0.2,0.0,31.1,13.4,40.4,31.0,2.6,1.1,2.3,0.1,0.5,2.8,95.4,29.2,15.5,0.1,2.2,0.1,33.4,22.4,4.0,3.1,7.5,3.4,4.6,4.2,2.2,2.0,0.4,0.3,0.1,100.0,53.5,22.9,7.9,4.4,15.2,7.9,3.5,2.2,23.5,9.3,5.8,6.3,42.6,35.8,100.0,92.0,8.0,1.1,0.2,0.8,0.3,3.8,1.7,(X),(X),100.0,64.0,36.0
Marin   ,4.4,5.4,6.4,6.1,4.3,4.0,5.0,6.0,6.4,7.2,7.7,7.5,7.0,6.7,6.1,4.4,2.7,2.7,82.5,79.8,76.7,26.7,22.6,100.0,4.6,5.6,6.7,6.5,4.5,4.3,5.2,6.1,6.4,7.1,7.7,7.6,7.0,6.4,5.7,4.2,2.4,2.1,81.7,78.9,75.6,24.9,20.8,100.0,4.2,5.2,6.1,5.8,4.1,3.7,4.8,5.9,6.5,7.2,7.8,7.4,7.1,7.1,6.5,4.6,2.9,3.2,83.2,80.8,77.7,28.4,24.3,(X),(X),(X),88.7,68.4,2.4,1.5,6.3,0.2,9.9,11.3,112.2,79.0,3.5,3.2,9.2,0.6,16.7,18.8,81.2,18.8,2.4,0.1,1.3,0.1,0.0,9.1,5.8,81.2,66.0,2.3,0.2,6.2,0.2,0.8,5.5,97.0,39.7,19.3,0.4,2.4,0.2,26.3,18.5,0.9,0.6,3.5,4.5,3.0,2.0,1.7,0.2,1.0,0.5,0.5,100.0,49.6,20.4,6.4,1.6,15.9,10.7,4.8,1.5,28.0,17.9,10.8,3.6,29.4,40.3,100.0,93.4,6.6,1.6,0.2,0.5,0.3,2.3,1.8,(X),(X),100.0,62.0,38.0
Mariposa   ,4.3,5.0,5.1,4.5,3.8,4.8,5.3,5.3,5.0,4.7,5.8,8.3,10.2,9.3,7.7,5.3,3.3,2.4,84.6,82.8,80.4,34.2,28.0,100.0,4.3,5.3,5.0,4.7,4.1,4.9,5.6,5.7,5.1,4.7,5.4,8.1,9.7,9.2,8.1,5.0,3.3,1.9,84.4,82.5,79.9,33.7,27.5,100.0,4.2,4.7,5.3,4.2,3.6,4.6,5.0,5.0,5.0,4.7,6.2,8.5,10.6,9.4,7.3,5.6,3.3,2.9,84.9,83.1,80.9,34.8,28.5,(X),(X),(X),88.1,78.1,0.6,2.9,1.7,0.1,4.6,11.9,113.0,89.3,1.6,7.8,3.0,0.7,10.7,12.5,87.5,12.5,3.2,0.0,0.5,0.1,0.0,4.0,4.7,87.5,74.9,0.6,2.4,1.7,0.1,0.7,7.1,98.5,42.9,20.2,0.2,2.7,0.1,21.7,13.7,2.9,1.9,3.9,3.8,1.5,0.8,0.7,0.1,0.7,0.4,0.3,100.0,47.5,10.9,6.5,1.9,21.4,15.1,6.8,1.6,24.5,15.0,8.5,2.7,22.6,47.9,100.0,75.5,24.5,1.3,0.5,1.1,0.8,16.2,4.6,(X),(X),100.0,72.1,27.9
Mendocino   ,5.0,6.0,6.1,5.6,4.7,5.6,6.3,6.6,6.2,5.6,5.6,6.3,7.3,7.8,7.0,4.0,2.3,2.1,81.8,79.4,76.2,27.5,23.1,100.0,5.1,6.0,6.3,5.7,5.0,5.9,6.6,6.8,6.4,5.6,5.6,6.2,7.0,7.4,6.9,3.7,2.1,1.6,81.4,79.0,75.7,25.9,21.7,100.0,4.9,5.9,5.9,5.5,4.3,5.3,6.0,6.4,6.0,5.6,5.6,6.4,7.6,8.2,7.1,4.2,2.5,2.6,82.1,79.8,76.7,29.1,24.6,(X),(X),(X),86.8,65.0,0.7,5.1,2.0,0.2,13.9,13.2,113.9,77.5,1.6,8.7,3.1,0.5,22.5,26.1,73.9,26.1,3.6,0.0,1.3,0.1,0.0,13.3,7.8,73.9,61.4,0.7,3.9,1.9,0.1,0.6,5.3,98.2,39.6,16.1,0.3,3.5,0.2,25.5,17.0,2.6,1.9,4.8,5.6,1.8,0.7,0.5,0.2,1.1,0.6,0.5,100.0,41.3,13.5,9.2,3.4,21.5,14.1,6.1,1.9,28.0,16.0,9.8,4.4,27.7,43.1,100.0,87.7,12.3,1.4,0.2,0.7,0.2,6.9,2.8,(X),(X),100.0,59.3,40.7
Merced   ,7.1,8.0,8.6,8.8,7.6,7.1,6.7,6.6,6.0,5.6,5.4,5.5,5.0,4.0,3.1,2.1,1.4,1.3,74.5,71.2,65.7,14.8,11.9,100.0,7.3,8.2,8.8,9.0,7.9,7.2,6.8,6.6,6.0,5.5,5.5,5.4,4.9,3.9,2.9,1.9,1.2,1.0,73.9,70.5,64.9,13.7,10.9,100.0,6.9,7.9,8.4,8.6,7.3,6.9,6.6,6.6,6.0,5.7,5.4,5.5,5.1,4.2,3.3,2.3,1.6,1.6,75.1,71.9,66.5,15.9,12.9,(X),(X),(X),82.4,37.2,3.3,2.7,7.4,0.3,31.7,17.6,118.6,53.6,4.5,5.1,8.7,0.7,46.1,61.8,38.2,61.8,12.7,0.3,2.3,0.3,0.1,31.2,14.9,38.2,24.4,2.9,0.4,7.0,0.2,0.4,2.7,98.2,29.7,14.8,0.1,2.3,0.1,36.2,24.1,3.7,3.0,7.8,3.6,1.8,0.8,0.7,0.1,1.0,0.5,0.5,100.0,50.3,24.2,7.9,4.4,16.6,8.0,2.7,2.5,25.2,9.2,5.2,7.2,45.1,30.1,100.0,95.1,4.9,1.8,0.2,0.6,0.2,0.4,1.7,(X),(X),100.0,54.7,45.3
Modoc   ,5.2,5.8,6.1,5.1,3.8,4.7,5.5,5.3,4.8,5.2,5.5,7.5,8.7,8.8,7.2,5.0,2.9,2.7,81.8,79.4,77.0,32.0,26.7,100.0,5.2,5.7,5.8,5.5,4.3,4.8,5.9,5.6,4.5,5.4,5.2,7.2,8.9,9.2,7.4,4.9,2.5,2.0,82.0,79.4,76.8,31.3,25.9,100.0,5.2,5.9,6.5,4.7,3.3,4.6,5.1,4.9,5.2,4.9,5.9,7.8,8.5,8.5,7.1,5.2,3.3,3.4,81.5,79.4,77.2,32.6,27.4,(X),(X),(X),91.5,77.8,0.8,5.1,0.7,0.1,6.9,8.5,109.7,85.7,1.9,8.5,1.7,1.0,11.0,14.5,85.5,14.5,3.7,0.0,0.7,0.0,0.0,6.3,3.8,85.5,74.1,0.8,4.4,0.7,0.1,0.6,4.7,97.1,42.7,19.2,0.2,2.7,0.1,24.1,17.4,1.8,1.5,3.3,2.9,2.9,1.9,1.3,0.6,1.0,0.4,0.6,100.0,45.6,13.3,6.7,2.2,21.6,15.2,7.0,2.0,26.2,16.2,10.0,3.8,26.5,45.8,100.0,78.5,21.5,1.8,0.2,1.6,1.0,8.4,8.5,(X),(X),100.0,69.5,30.5
Mono   ,5.4,5.7,5.6,5.3,5.0,7.8,8.4,7.4,6.2,6.0,6.3,7.0,7.7,6.7,4.7,2.4,1.4,1.0,82.3,80.0,76.9,20.8,16.1,100.0,5.4,5.5,5.1,5.1,5.4,8.0,8.7,7.3,6.0,6.5,6.2,6.8,7.8,6.4,4.9,2.5,1.3,0.9,82.8,80.8,77.9,20.8,16.0,100.0,5.4,5.9,6.1,5.5,4.6,7.5,8.1,7.5,6.5,5.4,6.4,7.2,7.7,7.0,4.4,2.3,1.5,1.1,81.7,79.1,75.9,20.7,16.3,(X),(X),(X),88.0,70.9,0.6,2.2,1.2,0.2,12.9,12.0,113.1,82.3,1.2,4.7,2.5,0.8,21.5,26.6,73.4,26.6,5.1,0.0,0.9,0.0,0.0,12.3,8.2,73.4,65.8,0.5,1.3,1.2,0.2,0.6,3.8,97.7,41.4,18.9,0.1,3.2,0.1,24.4,17.6,1.5,1.0,3.3,4.8,2.3,0.1,0.1,0.0,2.2,1.7,0.5,100.0,46.0,16.6,8.1,1.7,26.1,17.3,5.4,2.4,19.8,11.4,5.0,3.2,28.7,33.2,100.0,40.3,59.7,4.2,1.1,0.5,1.5,50.8,1.6,(X),(X),100.0,56.9,43.1
Monterey   ,6.1,7.0,7.6,7.8,7.1,7.3,7.2,7.0,6.3,5.7,5.7,5.6,5.5,4.7,3.8,2.4,1.5,1.8,77.9,74.7,70.0,17.5,14.2,100.0,6.2,7.0,7.7,7.9,7.5,7.6,7.5,7.2,6.4,5.6,5.7,5.4,5.4,4.5,3.5,2.2,1.3,1.3,77.5,74.3,69.5,16.0,12.9,100.0,6.1,6.9,7.4,7.7,6.6,7.0,6.9,6.7,6.2,5.9,5.7,5.7,5.7,5.0,4.0,2.6,1.7,2.2,78.2,75.0,70.6,18.9,15.6,(X),(X),(X),82.1,36.2,2.3,2.9,6.1,0.5,34.2,17.9,119.1,52.6,3.3,5.2,8.3,1.0,48.6,60.4,39.6,60.4,8.8,0.2,2.6,0.4,0.1,33.7,14.7,39.6,27.4,2.1,0.3,5.7,0.4,0.5,3.2,95.9,30.0,15.1,0.2,2.2,0.1,31.1,19.9,3.4,2.8,9.0,4.8,4.1,1.9,1.6,0.2,2.2,1.3,0.9,100.0,50.9,22.5,7.7,3.8,15.8,8.7,3.2,1.8,25.6,11.8,6.6,5.5,40.1,33.3,100.0,91.8,8.2,1.9,0.2,0.4,0.1,4.1,1.5,(X),(X),100.0,50.9,49.1
Napa   ,4.4,5.3,6.2,6.4,5.6,5.9,6.1,6.4,6.2,6.3,6.6,7.0,6.8,6.2,5.4,3.8,2.5,2.9,82.7,80.0,76.5,24.8,20.8,100.0,4.6,5.5,6.5,6.7,6.0,6.2,6.3,6.5,6.1,6.4,6.5,6.8,6.7,5.9,5.2,3.6,2.4,2.3,81.9,79.2,75.5,23.3,19.3,100.0,4.3,5.1,5.9,6.1,5.2,5.6,5.9,6.3,6.3,6.3,6.7,7.1,6.9,6.5,5.5,4.0,2.7,3.5,83.4,80.8,77.4,26.3,22.2,(X),(X),(X),85.0,55.2,1.8,1.4,7.8,0.3,18.6,15.0,116.0,69.3,2.8,3.7,9.9,0.7,29.7,35.4,64.6,35.4,5.3,0.1,1.0,0.2,0.0,17.9,10.9,64.6,49.9,1.7,0.4,7.6,0.2,0.7,4.2,96.3,36.0,18.1,0.3,2.3,0.1,27.4,17.2,2.0,1.5,6.2,3.9,3.7,1.6,0.8,0.8,2.1,1.4,0.7,100.0,50.8,19.1,6.6,2.0,15.8,9.5,4.1,1.6,26.8,15.5,9.1,3.9,30.9,38.7,100.0,89.7,10.3,1.7,0.2,0.7,0.3,5.1,2.3,(X),(X),100.0,61.2,38.8
Nevada   ,4.1,4.9,5.3,5.0,3.8,4.1,5.5,6.2,6.1,5.4,5.7,7.3,8.7,9.2,8.0,4.9,3.0,2.9,84.6,82.5,79.9,33.2,27.9,100.0,4.3,5.2,5.5,5.2,4.0,4.4,5.7,6.3,6.2,5.7,5.7,6.9,8.2,8.8,8.0,4.9,2.9,2.2,83.9,81.6,79.0,31.7,26.7,100.0,3.8,4.6,5.1,4.8,3.5,3.9,5.3,6.0,6.0,5.1,5.8,7.7,9.2,9.6,8.0,4.9,3.1,3.5,85.3,83.3,80.9,34.7,29.1,(X),(X),(X),90.1,83.7,0.4,1.0,1.4,0.1,3.4,9.9,110.5,93.3,1.1,4.0,2.9,0.5,8.7,10.2,89.8,10.2,2.7,0.0,0.3,0.1,0.0,2.8,4.2,89.8,81.0,0.4,0.7,1.3,0.1,0.6,5.7,98.1,41.8,20.6,0.2,2.9,0.1,22.6,15.1,1.9,1.4,3.0,4.8,1.9,1.1,0.5,0.6,0.8,0.4,0.4,100.0,49.7,13.6,7.3,2.0,18.0,12.0,5.4,1.6,25.0,15.2,9.6,3.2,23.8,45.8,100.0,79.8,20.2,1.2,0.2,1.0,0.3,15.8,1.8,(X),(X),100.0,73.6,26.4
Orange   ,4.9,5.6,6.4,6.9,7.1,7.1,6.7,6.7,6.4,6.7,7.0,6.8,6.1,4.9,4.0,2.9,1.9,2.0,81.7,79.1,74.7,19.2,15.7,100.0,5.1,5.9,6.7,7.1,7.3,7.4,6.9,6.8,6.3,6.6,6.9,6.8,6.0,4.7,3.7,2.6,1.7,1.6,80.9,78.1,73.7,17.7,14.2,100.0,4.7,5.4,6.1,6.6,6.9,6.8,6.4,6.6,6.4,6.8,7.0,6.8,6.2,5.1,4.3,3.1,2.1,2.5,82.5,80.0,75.8,20.7,17.2,(X),(X),(X),86.0,43.4,1.7,1.2,22.2,0.3,17.2,14.0,114.9,56.6,2.6,2.8,24.9,0.7,27.4,34.1,65.9,34.1,5.8,0.1,1.0,0.2,0.0,16.7,10.1,65.9,37.6,1.5,0.2,21.9,0.2,0.5,3.9,98.3,33.7,17.5,0.2,1.9,0.1,29.4,17.8,2.3,1.7,8.3,5.0,1.7,0.4,0.3,0.2,1.2,0.6,0.7,100.0,52.5,21.8,6.1,1.8,16.2,8.7,2.8,1.6,25.2,11.9,6.4,4.1,33.4,32.5,100.0,95.1,4.9,2.1,0.2,0.5,0.2,1.1,0.9,(X),(X),100.0,56.1,43.9
Placer   ,5.1,6.3,7.0,6.6,4.9,4.8,5.5,6.6,6.5,6.3,6.4,6.8,6.6,6.0,5.5,3.9,2.6,2.6,80.2,77.4,73.9,24.4,20.5,100.0,5.4,6.6,7.3,7.0,5.2,4.9,5.6,6.5,6.6,6.3,6.4,6.8,6.4,5.6,5.2,3.6,2.3,2.1,79.2,76.2,72.5,22.5,18.8,100.0,4.8,6.0,6.7,6.2,4.7,4.6,5.5,6.6,6.4,6.3,6.4,6.9,6.7,6.3,5.7,4.2,2.8,3.0,81.1,78.5,75.2,26.1,22.1,(X),(X),(X),87.9,71.3,1.7,0.9,8.8,0.3,5.0,12.1,113.1,82.8,2.9,3.4,11.8,0.9,11.2,15.0,85.0,15.0,4.0,0.1,0.4,0.2,0.0,4.5,5.8,85.0,67.3,1.6,0.5,8.6,0.2,0.5,6.3,98.9,37.6,21.1,0.2,2.0,0.1,29.7,20.7,1.6,1.2,3.9,2.8,1.1,0.6,0.3,0.3,0.5,0.3,0.3,100.0,56.5,22.5,5.5,1.6,14.4,9.1,3.7,1.7,23.5,13.9,8.6,3.6,32.3,37.4,100.0,88.2,11.8,1.3,0.1,0.6,0.2,8.5,1.0,(X),(X),100.0,71.7,28.3
Plumas   ,4.3,4.7,5.4,4.5,3.5,4.5,5.0,5.7,4.9,4.4,5.4,7.7,10.0,10.5,8.6,5.8,2.8,2.2,84.6,82.6,80.1,36.0,29.8,100.0,4.5,4.6,5.7,4.5,3.8,4.7,5.1,5.8,4.8,4.8,5.4,6.9,9.3,10.6,8.6,6.2,3.1,1.8,84.1,82.3,79.5,35.9,30.2,100.0,4.0,4.8,5.1,4.6,3.3,4.4,5.0,5.5,5.1,4.1,5.5,8.5,10.6,10.3,8.7,5.3,2.5,2.6,85.1,82.8,80.8,36.0,29.4,(X),(X),(X),90.8,83.9,0.5,2.3,0.8,0.2,3.0,9.2,110.5,92.7,1.6,6.3,2.0,0.7,7.1,9.6,90.4,9.6,3.1,0.0,0.4,0.0,0.0,2.5,3.6,90.4,80.8,0.5,1.9,0.7,0.2,0.6,5.6,99.4,46.5,21.0,0.1,3.2,0.1,21.2,14.9,1.8,1.3,2.7,2.7,0.6,0.4,0.2,0.2,0.2,0.1,0.1,100.0,45.4,10.3,7.2,2.3,22.6,17.3,7.9,1.8,24.8,16.2,9.0,3.4,21.5,47.3,100.0,59.9,40.1,1.2,0.1,1.4,0.6,33.7,3.1,(X),(X),100.0,70.4,29.6
Riverside   ,5.8,6.7,7.6,7.5,6.9,6.6,6.5,6.5,6.2,6.1,6.2,6.3,5.9,4.9,4.1,2.8,1.8,1.7,78.4,75.4,70.9,18.8,15.3,100.0,5.9,6.9,7.8,7.8,7.1,6.8,6.6,6.5,6.1,6.0,6.2,6.3,5.8,4.7,3.8,2.6,1.6,1.4,77.8,74.7,70.1,17.5,14.1,100.0,5.6,6.5,7.3,7.3,6.6,6.4,6.4,6.6,6.2,6.1,6.2,6.3,5.9,5.1,4.3,3.0,2.0,2.0,79.1,76.2,71.8,20.0,16.5,(X),(X),(X),83.2,41.2,6.5,1.8,7.1,0.3,26.4,16.8,117.9,56.7,8.2,3.9,9.0,0.8,39.4,49.7,50.3,49.7,8.6,0.4,1.3,0.3,0.1,25.8,13.3,50.3,32.6,6.1,0.5,6.8,0.3,0.5,3.5,98.5,31.6,16.3,0.4,2.0,0.2,32.4,20.0,3.6,2.9,8.2,3.9,1.5,0.8,0.6,0.2,0.7,0.3,0.3,100.0,52.6,22.2,6.9,2.9,16.1,8.8,3.6,2.0,24.4,10.6,6.4,5.2,38.4,34.4,100.0,90.0,10.0,1.7,0.2,0.9,0.3,5.9,1.1,(X),(X),100.0,66.6,33.4
Sacramento   ,5.9,6.5,6.8,6.4,6.5,7.4,7.6,7.2,6.3,6.0,6.1,6.3,6.0,5.0,4.0,2.5,1.7,1.8,79.4,76.8,73.0,18.5,15.0,100.0,6.2,6.8,7.2,6.8,6.8,7.5,7.8,7.3,6.4,6.0,6.0,6.2,5.7,4.7,3.7,2.2,1.4,1.4,78.5,75.7,71.7,16.7,13.4,100.0,5.7,6.2,6.5,6.1,6.2,7.3,7.4,7.1,6.3,6.0,6.1,6.4,6.2,5.3,4.3,2.8,1.9,2.2,80.3,77.8,74.3,20.1,16.5,(X),(X),(X),86.6,45.2,9.6,1.2,17.8,1.2,11.7,13.4,114.8,56.9,12.5,3.7,21.2,2.0,18.5,23.6,76.4,23.6,4.1,0.4,0.7,0.3,0.1,11.1,6.9,76.4,41.0,9.2,0.5,17.4,1.1,0.6,6.5,97.8,35.6,15.8,0.3,2.6,0.2,29.9,20.0,2.4,1.9,7.0,4.1,2.2,0.9,0.7,0.3,1.2,0.6,0.6,100.0,45.1,19.4,7.7,2.6,18.3,10.8,3.3,2.0,28.9,14.3,6.9,5.4,33.5,30.4,100.0,96.1,3.9,1.7,0.1,0.6,0.2,0.3,1.0,(X),(X),100.0,57.1,42.9
San Benito   ,6.4,6.8,7.7,7.3,6.4,6.2,6.8,7.0,6.6,6.2,6.5,6.5,6.0,4.7,3.7,2.3,1.4,1.5,77.6,74.6,70.4,17.1,13.6,100.0,6.4,6.9,7.9,7.6,6.8,6.3,6.6,7.2,6.6,6.2,6.4,6.3,5.9,4.5,3.6,2.2,1.3,1.1,77.3,74.2,69.6,16.1,12.8,100.0,6.3,6.7,7.6,7.0,6.0,6.1,7.0,6.9,6.5,6.2,6.5,6.7,6.1,5.0,3.7,2.5,1.5,1.9,77.9,75.1,71.1,18.0,14.5,(X),(X),(X),82.1,42.4,1.0,2.6,3.8,0.3,32.1,17.9,119.1,59.2,1.7,5.1,5.7,0.8,46.6,61.1,38.9,61.1,11.6,0.2,2.2,0.4,0.1,31.6,15.0,38.9,30.8,0.7,0.3,3.4,0.2,0.5,2.9,99.3,30.4,17.6,0.1,2.2,0.1,33.9,20.7,3.6,2.7,8.0,3.5,0.7,0.2,0.1,0.2,0.5,0.3,0.2,100.0,58.5,25.5,7.3,3.4,13.9,6.9,2.5,1.8,20.4,8.0,4.7,4.9,43.4,33.0,100.0,95.7,4.3,0.8,0.1,0.8,0.5,0.5,1.6,(X),(X),100.0,67.2,32.8
San Bernardino   ,6.2,7.0,7.6,7.4,7.3,7.5,7.1,6.7,6.2,6.1,6.1,6.2,5.7,4.6,3.4,2.2,1.4,1.2,77.7,74.7,70.3,16.1,12.7,100.0,6.4,7.2,7.9,7.7,7.7,7.7,7.2,6.7,6.2,5.9,6.1,6.1,5.6,4.4,3.2,2.0,1.2,0.9,77.0,73.9,69.2,14.9,11.7,100.0,6.0,6.8,7.4,7.1,6.9,7.2,7.1,6.7,6.3,6.2,6.2,6.3,5.9,4.8,3.6,2.3,1.5,1.5,78.4,75.5,71.3,17.2,13.8,(X),(X),(X),83.4,35.9,8.5,1.9,8.4,0.3,28.5,16.6,117.7,51.1,10.2,4.1,9.9,0.7,41.6,53.7,46.3,53.7,9.9,0.5,1.5,0.3,0.1,27.9,13.5,46.3,25.9,7.9,0.4,8.1,0.3,0.6,3.1,98.1,30.6,15.2,0.2,2.1,0.1,33.2,20.2,4.2,3.3,8.5,3.9,1.9,1.1,0.8,0.3,0.8,0.6,0.3,100.0,50.3,21.9,7.3,3.5,16.6,8.5,2.8,2.2,25.8,9.5,4.8,6.3,40.9,29.9,100.0,91.2,8.8,1.9,0.2,0.8,0.3,4.3,1.3,(X),(X),100.0,60.8,39.2
